timestep,average_reward,episode_return
100,-4.687492847442627,-468.7492980957031
200,-4.659576892852783,-465.9576721191406
300,-4.579833984375,-457.9833984375
400,-4.6134419441223145,-461.34417724609375
500,-4.581985950469971,-458.1986083984375
600,-4.582100868225098,-458.2100830078125
700,-4.709560394287109,-470.9560546875
800,-4.679140090942383,-467.9140319824219
900,-4.50457763671875,-450.457763671875
1000,-4.687864780426025,-468.7864685058594
1100,-4.646832466125488,-464.6832580566406
1200,-4.5747904777526855,-457.47906494140625
1300,-4.6680498123168945,-466.80499267578125
1400,-4.6488118171691895,-464.88116455078125
1500,-4.647358417510986,-464.73583984375
1600,-4.651828765869141,-465.182861328125
1700,-4.677550792694092,-467.75506591796875
1800,-4.631647109985352,-463.16473388671875
1900,-4.610002517700195,-461.0002746582031
2000,-4.651254653930664,-465.12548828125
2100,-4.628935813903809,-462.8935852050781
2200,-4.605484485626221,-460.5484313964844
2300,-4.661630630493164,-466.1630554199219
2400,-4.627816200256348,-462.7816162109375
2500,-4.652813911437988,-465.2814025878906
2600,-4.599496364593506,-459.94964599609375
2700,-4.674651622772217,-467.46514892578125
2800,-4.6339521408081055,-463.39520263671875
2900,-4.682685375213623,-468.2685241699219
3000,-4.650409698486328,-465.04095458984375
3100,-4.708517074584961,-470.8516845703125
3200,-4.636561870574951,-463.65618896484375
3300,-4.674924850463867,-467.49249267578125
3400,-4.622300624847412,-462.23004150390625
3500,-4.669311046600342,-466.9311218261719
3600,-4.606924533843994,-460.69244384765625
3700,-4.677821159362793,-467.7821350097656
3800,-4.673130035400391,-467.31298828125
3900,-4.647602558135986,-464.76025390625
4000,-4.622544288635254,-462.2544250488281
4100,-4.5904154777526855,-459.04156494140625
4200,-4.5397844314575195,-453.9784240722656
4300,-4.703198432922363,-470.31982421875
4400,-4.623618125915527,-462.36181640625
4500,-4.591972351074219,-459.1972351074219
4600,-4.678981304168701,-467.89813232421875
4700,-4.637110710144043,-463.7110595703125
4800,-4.649692535400391,-464.9692687988281
4900,-4.5501580238342285,-455.01580810546875
5000,-4.647712230682373,-464.771240234375
5100,-4.560858249664307,-456.0858459472656
5200,-4.6831183433532715,-468.31182861328125
5300,-4.646853923797607,-464.6853942871094
5400,-4.670289516448975,-467.0289306640625
5500,-4.619014739990234,-461.9014587402344
5600,-4.6339216232299805,-463.3921813964844
5700,-4.548877716064453,-454.8877868652344
5800,-4.608305931091309,-460.8305969238281
5900,-4.500445365905762,-450.0445556640625
6000,-4.484277725219727,-448.42779541015625
6100,-4.632270336151123,-463.22705078125
6200,-4.597104072570801,-459.71038818359375
6300,-4.667295932769775,-466.7296142578125
6400,-4.658028602600098,-465.8028564453125
6500,-4.645845890045166,-464.5845947265625
6600,-4.619775295257568,-461.9775390625
6700,-4.681614875793457,-468.1614685058594
6800,-4.678064346313477,-467.8064270019531
6900,-4.627954006195068,-462.79541015625
7000,-4.698838710784912,-469.88385009765625
7100,-4.647359848022461,-464.7359619140625
7200,-4.629403591156006,-462.94036865234375
7300,-4.5292863845825195,-452.92864990234375
7400,-4.677605628967285,-467.76055908203125
7500,-4.64837646484375,-464.837646484375
7600,-4.691717147827148,-469.17169189453125
7700,-4.444055557250977,-444.4055480957031
7800,-4.637184143066406,-463.7184143066406
7900,-4.639062404632568,-463.9062194824219
8000,-4.632665634155273,-463.26654052734375
8100,-4.710241794586182,-471.024169921875
8200,-4.499708652496338,-449.9708557128906
8300,-4.614846706390381,-461.4846496582031
8400,-4.688566207885742,-468.85662841796875
8500,-4.7147064208984375,-471.47064208984375
8600,-4.615342617034912,-461.5342712402344
8700,-4.671388149261475,-467.1387939453125
8800,-4.6522955894470215,-465.22955322265625
8900,-4.660729885101318,-466.0729675292969
9000,-4.682653903961182,-468.265380859375
9100,-4.687100887298584,-468.7100830078125
9200,-4.432109832763672,-443.21099853515625
9300,-4.66325569152832,-466.3255615234375
9400,-4.67730712890625,-467.730712890625
9500,-4.692953586578369,-469.2953796386719
9600,-4.657694339752197,-465.7694396972656
9700,-4.6723127365112305,-467.23126220703125
9800,-4.675891876220703,-467.58917236328125
9900,-4.675584316253662,-467.55841064453125
10000,-4.642823696136475,-464.2823486328125
10100,-4.670510768890381,-467.0510559082031
10200,-4.563892364501953,-456.38922119140625
10300,-4.6270623207092285,-462.70623779296875
10400,-4.704195976257324,-470.41961669921875
10500,-4.626395225524902,-462.6395263671875
10600,-4.626012802124023,-462.6012878417969
10700,-4.619218349456787,-461.92181396484375
10800,-4.649385929107666,-464.9385986328125
10900,-4.2819952964782715,-428.19952392578125
11000,-4.687475681304932,-468.74755859375
11100,-4.558215141296387,-455.8215026855469
11200,-4.663335800170898,-466.33355712890625
11300,-4.580662250518799,-458.06622314453125
11400,-4.6340250968933105,-463.4024963378906
11500,-4.641653537750244,-464.1653747558594
11600,-4.700991153717041,-470.09912109375
11700,-4.6876749992370605,-468.76751708984375
11800,-4.683728218078613,-468.3728332519531
11900,-4.627832412719727,-462.78326416015625
12000,-4.6807661056518555,-468.07659912109375
12100,-4.660991191864014,-466.09912109375
12200,-4.640623569488525,-464.0623779296875
12300,-4.686302661895752,-468.6302490234375
12400,-4.5646748542785645,-456.46746826171875
12500,-4.649407386779785,-464.94073486328125
12600,-4.632005214691162,-463.20050048828125
12700,-4.6488237380981445,-464.88238525390625
12800,-4.653799057006836,-465.3799133300781
12900,-4.635490417480469,-463.5490417480469
13000,-4.689693450927734,-468.9693603515625
13100,-4.710893154144287,-471.0893249511719
13200,-4.662665367126465,-466.26654052734375
13300,-4.615715503692627,-461.571533203125
13400,-4.683623790740967,-468.3623962402344
13500,-4.5502519607543945,-455.0251770019531
13600,-4.675112724304199,-467.51129150390625
13700,-4.62033748626709,-462.03375244140625
13800,-4.671411514282227,-467.1411437988281
13900,-4.6639404296875,-466.39404296875
14000,-4.660745620727539,-466.0745849609375
14100,-4.578848361968994,-457.88482666015625
14200,-4.667678356170654,-466.7678527832031
14300,-4.624388217926025,-462.4388427734375
14400,-4.681299686431885,-468.1299743652344
14500,-4.578789710998535,-457.87896728515625
14600,-4.6660075187683105,-466.6007385253906
14700,-4.68014669418335,-468.0146484375
14800,-4.569387912750244,-456.93878173828125
14900,-4.584712982177734,-458.4713134765625
15000,-4.674137592315674,-467.41375732421875
15100,-4.666196346282959,-466.61962890625
15200,-4.643016815185547,-464.30169677734375
15300,-4.545069694519043,-454.5069580078125
15400,-4.632312774658203,-463.2312927246094
15500,-4.624240875244141,-462.424072265625
15600,-4.576764106750488,-457.6763916015625
15700,-4.522428035736084,-452.2427978515625
15800,-4.654568672180176,-465.45684814453125
15900,-4.607632637023926,-460.76324462890625
16000,-4.541250228881836,-454.125
16100,-4.659458637237549,-465.94586181640625
16200,-4.440601825714111,-444.0601806640625
16300,-4.651546478271484,-465.1546630859375
16400,-4.529855251312256,-452.98553466796875
16500,-4.29777717590332,-429.7777404785156
16600,-3.806095600128174,-380.60955810546875
16700,-4.293063163757324,-429.30633544921875
16800,-3.930755615234375,-393.0755615234375
16900,-4.1950764656066895,-419.5076599121094
17000,-3.670151472091675,-367.01513671875
17100,-4.140321731567383,-414.0321960449219
17200,-4.303897857666016,-430.3898010253906
17300,-3.566509962081909,-356.6510009765625
17400,-4.178921699523926,-417.89215087890625
17500,-4.3775458335876465,-437.75457763671875
17600,-4.326693534851074,-432.66937255859375
17700,-3.923809766769409,-392.3809814453125
17800,-4.418843746185303,-441.8843688964844
17900,-2.9902963638305664,-299.0296325683594
18000,-4.042613983154297,-404.26141357421875
18100,-4.1330647468566895,-413.30645751953125
18200,-4.4198994636535645,-441.9899597167969
18300,-4.302814960479736,-430.281494140625
18400,-3.5959012508392334,-359.5901184082031
18500,-3.813420295715332,-381.342041015625
18600,-4.418684482574463,-441.86846923828125
18700,-4.271688461303711,-427.1688537597656
18800,-4.174236297607422,-417.42364501953125
18900,-4.221389293670654,-422.1389465332031
19000,-2.841017961502075,-284.101806640625
19100,-3.8976995944976807,-389.76995849609375
19200,-4.077099800109863,-407.7099609375
19300,-4.471875190734863,-447.1875
19400,-1.4154374599456787,-141.5437469482422
19500,-4.378521919250488,-437.8522033691406
19600,-4.384339809417725,-438.4339599609375
19700,-4.075310707092285,-407.53106689453125
19800,-4.313214302062988,-431.3214111328125
19900,-4.383902072906494,-438.39019775390625
20000,-4.2409186363220215,-424.09185791015625
20100,-4.350671291351318,-435.067138671875
20200,-4.342030048370361,-434.2030029296875
20300,-4.316948413848877,-431.6948547363281
20400,-4.359784126281738,-435.9783935546875
20500,-1.4900904893875122,-149.00904846191406
20600,-4.350290298461914,-435.029052734375
20700,-3.427203416824341,-342.7203369140625
20800,-4.4022698402404785,-440.22698974609375
20900,-4.325881481170654,-432.588134765625
21000,-4.3653764724731445,-436.5376281738281
21100,-4.092928886413574,-409.29290771484375
21200,-3.9434309005737305,-394.34307861328125
21300,-4.030458450317383,-403.04583740234375
21400,-3.8752753734588623,-387.52752685546875
21500,-4.071117401123047,-407.11175537109375
21600,-4.2679219245910645,-426.79217529296875
21700,-4.409930229187012,-440.9930419921875
21800,-4.352219104766846,-435.221923828125
21900,-4.442941188812256,-444.29412841796875
22000,-3.9189140796661377,-391.89141845703125
22100,-4.3027753829956055,-430.27752685546875
22200,-4.266148567199707,-426.6148681640625
22300,-3.558034658432007,-355.803466796875
22400,-4.2275590896606445,-422.7558898925781
22500,-4.255118370056152,-425.5118408203125
22600,-4.386991500854492,-438.6991271972656
22700,-4.342839241027832,-434.283935546875
22800,-4.0608134269714355,-406.08135986328125
22900,-3.9989867210388184,-399.898681640625
23000,-4.135818958282471,-413.5819091796875
23100,-3.8846497535705566,-388.4649658203125
23200,-4.0752644538879395,-407.52642822265625
23300,-3.8477349281311035,-384.77349853515625
23400,-2.892282724380493,-289.228271484375
23500,-4.329545021057129,-432.9544982910156
23600,-3.9152820110321045,-391.5281982421875
23700,-4.217469692230225,-421.7469482421875
23800,-4.235979080200195,-423.5979309082031
23900,-4.356389999389648,-435.63897705078125
24000,-4.242137908935547,-424.21380615234375
24100,-4.070635795593262,-407.0635681152344
24200,-4.261491298675537,-426.14910888671875
24300,-4.010639667510986,-401.06396484375
24400,-4.373263359069824,-437.3263244628906
24500,-4.254803657531738,-425.4803466796875
24600,-3.8042449951171875,-380.42449951171875
24700,-3.710899591445923,-371.0899658203125
24800,-4.16754150390625,-416.754150390625
24900,-4.381314277648926,-438.13140869140625
25000,-4.239117622375488,-423.9117431640625
25100,-3.9608166217803955,-396.0816650390625
25200,-4.200809955596924,-420.08099365234375
25300,-4.4412970542907715,-444.12969970703125
25400,-4.384397029876709,-438.439697265625
25500,-4.427151679992676,-442.71514892578125
25600,-3.948371171951294,-394.8371276855469
25700,-4.007218360900879,-400.7218322753906
25800,-4.1094865798950195,-410.94866943359375
25900,-4.1210246086120605,-412.10247802734375
26000,-3.602285861968994,-360.22857666015625
26100,-4.112451553344727,-411.24517822265625
26200,-4.3561601638793945,-435.61602783203125
26300,-4.092434883117676,-409.24346923828125
26400,-4.182195663452148,-418.21954345703125
26500,-4.226162910461426,-422.61627197265625
26600,-3.665346145629883,-366.53460693359375
26700,-4.205806255340576,-420.58062744140625
26800,-3.6860687732696533,-368.60687255859375
26900,-2.869201898574829,-286.9201965332031
27000,-4.337182521820068,-433.7182312011719
27100,-4.5370774269104,-453.7077331542969
27200,-4.061700820922852,-406.1700744628906
27300,-3.8609795570373535,-386.09796142578125
27400,-4.200649261474609,-420.06494140625
27500,-4.3823771476745605,-438.23773193359375
27600,-4.256075382232666,-425.6075439453125
27700,-3.975673198699951,-397.56732177734375
27800,-3.8471899032592773,-384.718994140625
27900,-4.412689208984375,-441.2689208984375
28000,-3.9563751220703125,-395.63751220703125
28100,-4.293735504150391,-429.37353515625
28200,-4.333582401275635,-433.3582458496094
28300,-4.104896068572998,-410.4896240234375
28400,-4.1694655418396,-416.946533203125
28500,-4.091220378875732,-409.1220397949219
28600,-4.390641689300537,-439.06414794921875
28700,-3.795687675476074,-379.5687561035156
28800,-4.073733329772949,-407.37335205078125
28900,-4.000495433807373,-400.049560546875
29000,-3.9872515201568604,-398.72515869140625
29100,-3.4506683349609375,-345.06683349609375
29200,-4.282991886138916,-428.2991943359375
29300,-4.272006988525391,-427.20068359375
29400,-3.723649263381958,-372.36492919921875
29500,-4.080991744995117,-408.09918212890625
29600,-4.242866039276123,-424.28662109375
29700,-4.190367698669434,-419.0367736816406
29800,-4.2434492111206055,-424.34490966796875
29900,-2.2221665382385254,-222.21664428710938
30000,-4.348875522613525,-434.8875732421875
30100,-2.9758806228637695,-297.58807373046875
30200,-4.0738043785095215,-407.38043212890625
30300,-4.242936134338379,-424.2936096191406
30400,-3.6522057056427,-365.2205810546875
30500,-3.8742198944091797,-387.4219970703125
30600,-4.2831621170043945,-428.31622314453125
30700,-4.003787040710449,-400.3786926269531
30800,-4.230367183685303,-423.0367126464844
30900,-3.330559015274048,-333.055908203125
31000,-2.6739892959594727,-267.39892578125
31100,-3.9613165855407715,-396.13165283203125
31200,-3.852808952331543,-385.2808837890625
31300,-3.678614854812622,-367.8614807128906
31400,-3.717991828918457,-371.7991943359375
31500,-4.346811294555664,-434.68115234375
31600,-4.006998062133789,-400.6998291015625
31700,-3.9222497940063477,-392.2249755859375
31800,-4.09224796295166,-409.22479248046875
31900,-4.070782661437988,-407.0782470703125
32000,-3.8304195404052734,-383.0419616699219
32100,-3.7007875442504883,-370.0787658691406
32200,-4.174842834472656,-417.4842834472656
32300,-4.196463108062744,-419.64630126953125
32400,-4.243636608123779,-424.3636474609375
32500,-3.171571731567383,-317.15716552734375
32600,-4.0799880027771,-407.998779296875
32700,-4.038172721862793,-403.8172607421875
32800,-3.9787497520446777,-397.8749694824219
32900,-3.978640079498291,-397.864013671875
33000,-3.7637176513671875,-376.37176513671875
33100,-3.844197988510132,-384.4197998046875
33200,-3.8668811321258545,-386.6881103515625
33300,-4.2025251388549805,-420.2525329589844
33400,-4.238718032836914,-423.871826171875
33500,-4.337376594543457,-433.7376708984375
33600,-4.0236287117004395,-402.36285400390625
33700,-3.9411401748657227,-394.114013671875
33800,-3.140018939971924,-314.00189208984375
33900,-3.787895441055298,-378.78955078125
34000,-3.5974974632263184,-359.749755859375
34100,-4.430392265319824,-443.03924560546875
34200,-2.739427089691162,-273.9427185058594
34300,-3.5328972339630127,-353.28973388671875
34400,-3.3550775051116943,-335.50775146484375
34500,-3.9409515857696533,-394.09515380859375
34600,-3.909379005432129,-390.9378967285156
34700,-4.307892322540283,-430.78924560546875
34800,-4.190258979797363,-419.02587890625
34900,-3.8958051204681396,-389.58050537109375
35000,-3.3993637561798096,-339.9363708496094
35100,-4.084612846374512,-408.4613037109375
35200,-3.623783588409424,-362.37835693359375
35300,-3.14548397064209,-314.54840087890625
35400,-4.1696457862854,-416.964599609375
35500,-3.7875096797943115,-378.7509765625
35600,-3.947260856628418,-394.72607421875
35700,-4.095064640045166,-409.5064697265625
35800,-4.360660552978516,-436.0660705566406
35900,-3.4712488651275635,-347.1248779296875
36000,-4.030959606170654,-403.095947265625
36100,-3.900637149810791,-390.063720703125
36200,-4.17022705078125,-417.022705078125
36300,-3.6721129417419434,-367.2113037109375
36400,-3.969985246658325,-396.99853515625
36500,-3.8072621822357178,-380.7262268066406
36600,-3.8687965869903564,-386.8796691894531
36700,-3.9352617263793945,-393.52618408203125
36800,-3.992880344390869,-399.28802490234375
36900,-3.6420280933380127,-364.20281982421875
37000,-4.212000846862793,-421.2000732421875
37100,-4.002842426300049,-400.28424072265625
37200,-3.999387264251709,-399.938720703125
37300,-4.210421085357666,-421.0421142578125
37400,-3.796332359313965,-379.63323974609375
37500,-3.776799201965332,-377.679931640625
37600,-3.4324419498443604,-343.24420166015625
37700,-3.148402690887451,-314.84027099609375
37800,-4.092022895812988,-409.2023010253906
37900,-3.8516783714294434,-385.1678466796875
38000,-3.759493350982666,-375.9493408203125
38100,-3.987973690032959,-398.79736328125
38200,-3.9978139400482178,-399.7814025878906
38300,-3.868797540664673,-386.8797607421875
38400,-4.318273544311523,-431.82733154296875
38500,-4.361204624176025,-436.1204833984375
38600,-4.105485916137695,-410.548583984375
38700,-3.9845688343048096,-398.4568786621094
38800,-3.6147100925445557,-361.47100830078125
38900,-4.18516731262207,-418.5167236328125
39000,-3.572784423828125,-357.2784423828125
39100,-3.918306827545166,-391.8306884765625
39200,-3.8139448165893555,-381.39447021484375
39300,-3.817019462585449,-381.7019348144531
39400,-3.6629254817962646,-366.29254150390625
39500,-2.738908290863037,-273.8908386230469
39600,-3.6772267818450928,-367.7226867675781
39700,-3.395576238632202,-339.5576171875
39800,-3.7070717811584473,-370.7071838378906
39900,-3.837702751159668,-383.770263671875
40000,-3.6856462955474854,-368.56463623046875
40100,-3.8315536975860596,-383.1553649902344
40200,-3.97860050201416,-397.86004638671875
40300,-3.5906379222869873,-359.06378173828125
40400,-4.054734706878662,-405.47344970703125
40500,-3.812075138092041,-381.20751953125
40600,-3.9150190353393555,-391.50189208984375
40700,-4.073734283447266,-407.3734130859375
40800,-4.2856764793396,-428.567626953125
40900,-3.917146682739258,-391.71466064453125
41000,-3.9420242309570312,-394.2024230957031
41100,-3.533937454223633,-353.39373779296875
41200,-3.8354151248931885,-383.54150390625
41300,-3.6773455142974854,-367.73455810546875
41400,-3.2919857501983643,-329.1985778808594
41500,-3.4711296558380127,-347.11297607421875
41600,-3.1933350563049316,-319.33349609375
41700,-3.612855911254883,-361.28558349609375
41800,-3.381373405456543,-338.1373291015625
41900,-3.640629768371582,-364.06298828125
42000,-3.501400947570801,-350.1401062011719
42100,-4.034273147583008,-403.42730712890625
42200,-3.7098166942596436,-370.9816589355469
42300,-3.8553571701049805,-385.53570556640625
42400,-3.622795343399048,-362.279541015625
42500,-4.100499629974365,-410.0499572753906
42600,-3.3383028507232666,-333.8302917480469
42700,-3.8728504180908203,-387.2850341796875
42800,-4.16285514831543,-416.2855224609375
42900,-3.8379485607147217,-383.79486083984375
43000,-2.661729097366333,-266.17291259765625
43100,-3.872767448425293,-387.2767333984375
43200,-3.883662223815918,-388.3662109375
43300,-3.4110796451568604,-341.10797119140625
43400,-3.747387170791626,-374.73870849609375
43500,-3.961406946182251,-396.14068603515625
43600,-1.650924801826477,-165.0924835205078
43700,-3.700180768966675,-370.01806640625
43800,-3.910571575164795,-391.0571594238281
43900,-3.554591178894043,-355.4591064453125
44000,-3.829711675643921,-382.9711608886719
44100,-3.8460030555725098,-384.6003112792969
44200,-3.7952306270599365,-379.5230712890625
44300,-3.9384593963623047,-393.845947265625
44400,-3.9526920318603516,-395.2691955566406
44500,-3.5528805255889893,-355.2880554199219
44600,-3.807743549346924,-380.77435302734375
44700,-3.9412524700164795,-394.125244140625
44800,-3.772498846054077,-377.2498779296875
44900,-3.601193904876709,-360.119384765625
45000,-3.695195198059082,-369.51953125
45100,-3.80672025680542,-380.6720275878906
45200,-3.087069511413574,-308.7069396972656
45300,-3.428251266479492,-342.82513427734375
45400,-3.8540542125701904,-385.4054260253906
45500,-3.8937177658081055,-389.37176513671875
45600,-3.334688186645508,-333.46881103515625
45700,-3.4193975925445557,-341.93975830078125
45800,-3.588968515396118,-358.8968505859375
45900,-3.823789358139038,-382.3789367675781
46000,-3.084888219833374,-308.48883056640625
46100,-4.163879871368408,-416.38800048828125
46200,-3.7170052528381348,-371.7005310058594
46300,-1.9194769859313965,-191.94769287109375
46400,-3.6360199451446533,-363.60198974609375
46500,-3.680204153060913,-368.0204162597656
46600,-3.8085689544677734,-380.8569030761719
46700,-3.402717351913452,-340.271728515625
46800,-3.5002362728118896,-350.02362060546875
46900,-3.3643548488616943,-336.43548583984375
47000,-3.444260358810425,-344.426025390625
47100,-3.7408483028411865,-374.0848388671875
47200,-3.2747669219970703,-327.4766845703125
47300,-1.604223370552063,-160.42233276367188
47400,-0.9313403964042664,-93.13404083251953
47500,-3.1327695846557617,-313.2769470214844
47600,-3.6321218013763428,-363.2121887207031
47700,-3.589646816253662,-358.9646911621094
47800,-2.951083183288574,-295.1083068847656
47900,-3.640460252761841,-364.0460205078125
48000,-3.4075276851654053,-340.7527770996094
48100,-2.640254497528076,-264.02545166015625
48200,-2.708982467651367,-270.89825439453125
48300,-1.1778361797332764,-117.78362274169922
48400,-3.139117956161499,-313.91180419921875
48500,-0.5009562969207764,-50.09562683105469
48600,-2.117835283279419,-211.78353881835938
48700,-4.115487575531006,-411.54876708984375
48800,-3.201462507247925,-320.146240234375
48900,-2.4650044441223145,-246.5004425048828
49000,-3.3161911964416504,-331.6191101074219
49100,-3.921241044998169,-392.1241149902344
49200,-2.814345598220825,-281.4345703125
49300,-2.869347333908081,-286.9347229003906
49400,-3.3712449073791504,-337.1244812011719
49500,-3.5796990394592285,-357.96990966796875
49600,-3.573326349258423,-357.3326416015625
49700,-0.7513530254364014,-75.13529968261719
49800,-2.805708885192871,-280.5708923339844
49900,-2.7164368629455566,-271.6436767578125
50000,-2.1182470321655273,-211.82469177246094
50100,-2.5251073837280273,-252.51072692871094
50200,-2.5647830963134766,-256.4783020019531
50300,-3.6700427532196045,-367.0042724609375
50400,-2.6715962886810303,-267.1596374511719
50500,-3.326319694519043,-332.6319580078125
50600,-0.15732136368751526,-15.732135772705078
50700,-2.874769926071167,-287.47698974609375
50800,-2.5545833110809326,-255.4583282470703
50900,-3.725567579269409,-372.5567626953125
51000,-3.714475393295288,-371.4475402832031
51100,-3.4331295490264893,-343.3129577636719
51200,-2.800994634628296,-280.0994567871094
